County,Force_2009,Employed_2009,Unemployed_2009,UnemployedPercent_2009,Force_2010,Employed_2010,Unemployed_2010,UnemployedPercent_2010,Force_2011,Employed_2011,Unemployed_2011,UnemployedPercent_2011,Force_2012,Employed_2012,Unemployed_2012,UnemployedPercent_2012,StayDays_2009,AvgStay_2009,Sev1_2009,Sev2_2009,Sev3_2009,Sev4_2009,Sev0_2009,AvgSev_2009,Charges_2009,AvgCharges_2009,DeltaPercent_2009,StayDays_2010,AvgStay_2010,Sev1_2010,Sev2_2010,Sev3_2010,Sev4_2010,Sev0_2010,AvgSev_2010,Charges_2010,AvgCharges_2010,DeltaPercent_2010,StayDays_2011,AvgStay_2011,Sev1_2011,Sev2_2011,Sev3_2011,Sev4_2011,Sev0_2011,AvgSev_2011,Charges_2011,AvgCharges_2011,DeltaPercent_2011,StayDays_2012,AvgStay_2012,Sev1_2012,Sev2_2012,Sev3_2012,Sev4_2012,Sev0_2012,AvgSev_2012,Charges_2012,AvgCharges_2012,DeltaPercent_2012
Kings,1121965,1011576,110389,9.8,1123305,1007807,115498,10.3,1124851,1014948,109903,9.8,1138237,1025201,113036,9.9,1715745,5.686320973579202,124793,109067,51262,16567,43,1.8658312674824016,7.182238999900289E9,23803.371866094047,0.00,1675576,5.62277599178518,116271,109504,54159,17931,133,1.9110195370438727,7.403046322160107E9,24842.604051571172,-0.02,1639243,5.5930061960912765,112831,106444,55527,18274,12,1.9290997925537723,7.606243411689716E9,25952.080643662368,-0.02,1626663,5.547017902813299,111056,106889,56908,18396,1,1.9408081841432225,7.679433641770644E9,26187.326996660337,-0.01
Lewis,12716,11586,1130,8.9,12622,11452,1170,9.3,12416,11202,1214,9.8,12208,10970,1238,10.1,6932,3.1944700460829494,921,851,363,35,0,1.7751152073732719,1.8529449889999997E7,8538.917,0.00,6032,3.201698513800425,729,738,378,39,0,1.855095541401274,1.6039011179999981E7,8513.275573248398,-0.13,6015,3.116580310880829,790,765,339,36,0,1.8036269430051814,1.651950743999999E7,8559.33027979274,-0.00,5497,2.8481865284974095,801,768,334,27,0,1.7860103626943005,1.511509356999998E7,7831.654699481855,-0.09
Livingston,32047,29317,2730,8.5,32516,29744,2772,8.5,32062,29492,2570,8,32082,29411,2671,8.3,11284,3.6565132858068696,1165,1355,498,68,0,1.8279325988334414,3.2911241590000004E7,10664.69267336358,0.00,9857,3.6697691734921816,981,1068,541,96,0,1.9076693968726732,3.208118140000003E7,11943.850111690257,-0.13,9219,3.445067264573991,1044,1050,502,80,0,1.8572496263079223,3.0777562490000013E7,11501.33127428999,-0.06,7483,3.4869524697110905,840,814,422,70,0,1.8704566635601119,2.400387725000003E7,11185.404123951552,-0.19
Madison,35980,33034,2946,8.2,36378,33345,3033,8.3,35972,32979,2993,8.3,35839,32733,3106,8.7,21840,3.7180796731358527,2619,2216,924,115,0,1.7505958461014641,8.083672365000029E7,13761.784754851938,0.00,22083,3.958945858730728,2229,2162,1040,147,0,1.839548225170312,8.383387463000026E7,15029.378743277208,0.01,20476,3.855394464319337,1980,2136,1035,160,0,1.882319713801544,8.124374655000006E7,15297.25975334213,-0.07,18525,3.6252446183953033,1889,2126,936,159,0,1.87573385518591,8.104858696000025E7,15860.780227005918,-0.10
Manhattan,933518,855447,78071,8.4,925096,850338,74758,8.1,924688,855500,69188,7.5,936614,864142,72472,7.7,2573129,5.5846047999583295,188736,166712,82163,23128,15,1.869025553766218,1.816032426327924E10,39414.360511855004,0.00,2458406,5.52976424781309,171139,162813,85258,25358,9,1.920861852952357,1.8640357545808655E10,41928.29936278452,-0.04,2339312,5.4550525378118335,160193,157889,84998,25748,6,1.9447082087707597,1.884303388278467E10,43940.158389457625,-0.05,2325423,5.383260064865166,155845,159199,88964,27953,12,1.9745377604618808,1.9889327482933105E10,46042.98760092206,-0.01
Monroe,374249,344457,29792,8,370765,340872,29893,8.1,368538,340256,28282,7.7,368654,339322,29332,8,583956,5.1935360506585795,38601,40805,25061,7968,4,2.0212381824811674,1.97753827618993E9,17587.65442764459,0.00,572830,5.2406568775444855,36743,38723,25198,8637,4,2.052339783175518,2.012626612519988E9,18412.94188298786,-0.02,590455,5.230403316532168,37373,40055,26357,9099,5,2.0635314335320536,2.14061589149001E9,18962.12998157491,0.03,580741,5.326384239344773,34831,39327,25831,9041,1,2.0832790674211923,2.1912591718900247E9,20097.57932964042,-0.02
Montgomery,24357,22024,2333,9.6,24043,21637,2406,10,23700,21334,2366,10,23686,21228,2458,10.4,35851,5.034545709872209,1943,2632,2070,476,0,2.1515236624069654,8.109005215999979E7,11387.452908299367,0.00,34467,4.927376697641172,1796,2736,2039,424,0,2.1559685489635454,8.295301368000017E7,11858.901169406743,-0.04,33237,4.888513016620092,1870,2624,1893,412,0,2.1245771436976026,8.735592334000021E7,12848.348777761466,-0.04,31562,4.857186826715912,1767,2489,1783,459,0,2.143736534318252,9.109061671000025E7,14018.254341335834,-0.05
Nassau,690713,642355,48358,7,688309,639362,48947,7.1,684833,638050,46783,6.8,691336,642463,48873,7.1,1197706,5.498124761865414,86623,76297,42248,12664,7,1.912499598327205,7.931109432830188E9,36408.124499424746,0.00,1174442,5.444894666567762,81594,76479,44205,13417,1,1.9510561160151325,8.306140473750502E9,38508.55126544072,-0.02,1155106,5.434284128171472,77266,75903,44966,14416,8,1.9836092567240156,8.802515899091179E9,41412.10628150856,-0.02,1085165,5.4363715608280065,72388,70880,42333,14005,6,1.9896950083161333,9.21812504570059E9,46180.214845302835,-0.06
Niagara,113353,102704,10649,9.4,112135,101754,10381,9.3,110464,101020,9444,8.5,110773,100810,9963,9,121295,5.26522550679342,8688,9030,4366,953,0,1.8951252333203108,2.6136524566000134E8,11345.454948995153,0.00,114570,5.342504080205176,7709,8454,4284,998,0,1.933364420610865,2.5371116830000225E8,11830.784252739672,-0.06,116095,5.327658207516865,7168,8953,4632,1038,0,1.978890367582947,2.6221294813999853E8,12033.084674406797,0.01,109613,5.189272357146239,6967,8912,4213,1031,0,1.9672395019646831,2.6194997805000097E8,12401.173036500542,-0.06
Oneida,110281,102034,8247,7.5,109365,100702,8663,7.9,107085,98201,8884,8.3,105982,96844,9138,8.6,181194,4.886701367350792,12290,14299,8684,1805,1,2.0000539388872407,6.120060250300124E8,16505.461987378632,0.00,179180,4.9163145475498,10827,14606,9145,1868,0,2.056357350600889,6.440300702999971E8,17670.8025654392,-0.01,161271,4.741451797842002,9287,13376,9297,2052,1,2.1208949519301443,6.316945735000154E8,18572.151045189057,-0.10,165091,4.828634103539047,9222,13720,9118,2129,1,2.121439017256508,6.656463788400018E8,19469.037111436144,0.02
Onondaga,232913,214871,18042,7.7,231017,212169,18848,8.2,227908,210031,17877,7.8,226856,208464,18392,8.1,390026,5.358604107989284,24671,27112,16491,4507,4,2.0113484921343683,1.5873744506200142E9,21809.087732637414,0.00,419856,5.505947151006492,25051,28276,17991,4934,3,2.0367451314667893,1.7988399125999835E9,23589.796244180492,0.08,424354,5.429993602047345,25199,29040,18832,5078,1,2.0484580934101086,1.968871676880008E9,25193.495545489546,0.01,431410,5.344921574943628,24646,29745,20308,6014,1,2.0952498946898928,2.1955588855000167E9,27201.710799861445,0.02
Ontario,56776,52601,4175,7.4,56750,52418,4332,7.6,56654,52520,4134,7.3,56617,52376,4241,7.5,64206,4.628460207612457,4537,5612,3110,613,0,1.9855103806228374,1.4709096427000168E8,10603.443214388817,0.00,63353,4.85277671390272,4084,5281,3082,608,0,2.0163921869015704,1.4585379611999893E8,11172.255543469853,-0.01,59541,4.69603281015853,3780,4827,3243,829,0,2.0884139127691457,1.4154873893000033E8,11164.030201908694,-0.06,56521,4.678116205926171,3564,4573,3116,829,0,2.1001489819566297,1.4153196663000086E8,11714.282952325844,-0.05
Orange,179937,165660,14277,7.9,175986,161378,14608,8.3,174406,160456,13950,8,174281,159796,14485,8.3,207549,4.773765439197737,17190,15101,8721,2464,1,1.9185086367504658,1.328588877649992E9,30558.430380430847,0.00,207405,4.828874764266257,15610,14766,9541,3029,5,1.9995110707550465,1.3757290728000815E9,32030.198896418744,-0.00,200934,4.790073424239535,14872,14477,9520,3078,1,2.019118909125584,1.3948499728600006E9,33251.88263707449,-0.03,187269,4.7038330151713055,13317,13546,9655,3294,0,2.0734954285140157,1.3916497596300027E9,34955.53500527486,-0.07
Orleans,19322,17497,1825,9.4,19345,17404,1941,10,19006,17238,1768,9.3,19188,17191,1997,10.4,10569,4.639596136962248,748,1051,443,35,1,1.8959613696224757,1.4360239969999965E7,6303.880583845464,0.00,11722,4.642376237623762,787,1191,488,59,0,1.9283168316831683,1.7491795679999977E7,6927.4438336633575,0.11,12080,4.7765915381573745,597,1251,599,82,0,2.065638592328984,1.773784729999997E7,7013.779082641348,0.03,10416,4.9411764705882355,324,1030,661,93,0,2.248102466793169,1.5778641449999994E7,7485.124027514228,-0.14
Oswego,59861,53908,5953,9.9,58487,52144,6343,10.8,57706,51676,6030,10.4,57345,51290,6055,10.6,30366,4.39768283852281,2977,2441,1274,213,0,1.815061549601738,6.715891233000009E7,9726.127781317899,0.00,29727,4.400740192450037,2731,2458,1314,251,1,1.8642487046632124,6.915907944999997E7,10238.205692079937,-0.02,27352,4.345035742652899,2439,2272,1288,291,5,1.908022239872915,6.375321641999982E7,10127.595936457477,-0.08,26574,4.346418056918548,2428,2231,1128,327,0,1.894340857049395,7.020358873999996E7,11482.431916911999,-0.03
Otsego,31541,29136,2405,7.6,31681,29255,2426,7.7,31470,29011,2459,7.8,31339,28832,2507,8,62869,4.519373157932572,4951,5166,3011,783,0,1.9731148012364317,1.8632208638000005E8,13393.86718280498,0.00,66287,4.634482276445501,4731,5521,3237,814,0,2.009368663916661,2.0395574770999956E8,14259.64816541981,0.05,65943,4.853389269154339,4196,5209,3317,865,0,2.062633399573121,2.05280747589999E8,15108.614675056966,-0.01,64685,4.8925951138340515,4132,5022,3270,797,0,2.0553664624461083,2.070602183000001E8,15661.464208456251,-0.02
Putnam,54834,51110,3724,6.8,54324,50568,3756,6.9,53869,50212,3657,6.8,53785,50169,3616,6.7,42452,4.924825986078886,3128,3239,1808,445,0,1.9501160092807424,2.716088394000021E8,31509.146102088413,0.00,41105,5.079080687013469,2573,3108,1910,502,0,2.0421351785493638,2.689972377400001E8,33238.259945632046,-0.03,37277,5.0333513367539835,2215,2846,1785,560,0,2.093167701863354,2.6634676959999958E8,35963.64698892784,-0.09,34160,4.864018225829418,2065,2767,1685,506,0,2.089990032749537,2.5188126863999963E8,35865.19559162746,-0.08
Queens,1131719,1037433,94286,8.3,1121931,1024418,97513,8.7,1119179,1028127,91052,8.1,1132491,1038514,93977,8.3,1193569,5.419573815005017,100402,75529,33782,10512,8,1.7928920733949953,5.0943751251002035E9,23131.751940445818,0.00,1166403,5.275454545454545,94585,78003,37208,11296,8,1.842600633197648,5.344461765899892E9,24172.14729036586,-0.02,1146309,5.3434253031087,87696,76970,37979,11873,9,1.8788544099344138,5.629210351088912E9,26240.101950285567,-0.02,1116213,5.355800049901157,84667,74603,37314,11821,7,1.8861629848569181,5.967056591837379E9,28631.06055235485,-0.03
Rensselaer,83635,77349,6286,7.5,83156,76601,6555,7.9,81677,75444,6233,7.6,82325,75843,6482,7.9,89894,5.319486360139654,5723,6914,3516,723,23,1.9522456950115392,2.6451076970999947E8,15652.451015444669,0.00,84507,5.404988807163416,5020,6306,3531,764,14,2.0007035497281738,2.5413658166000035E8,16254.338449632258,-0.06,80916,5.4236879147395936,4426,6073,3582,838,0,2.0557678128560894,2.611859695900006E8,17506.93542395607,-0.04,76264,5.489778289663115,3972,5458,3479,983,0,2.106032248776274,2.6118640783999857E8,18801.20989346376,-0.06
Richmond,246600,226541,20059,8.1,241777,220500,21277,8.8,240363,220425,19938,8.3,243318,222652,20666,8.5,323764,5.115886609992732,27025,22476,10285,3497,3,1.8459058875580696,1.67742293699002E9,26505.43464573555,0.00,326177,5.104571276545799,26922,22617,10652,3704,4,1.8611871860279503,1.787466841549969E9,27973.314786615894,0.01,324302,4.98274564031651,25930,23724,11615,3816,0,1.8973188906814167,1.8879662003099465E9,29007.700703847993,-0.01,297356,4.979669759185451,21651,22888,11257,3916,2,1.9570285025287202,1.9366929670999641E9,32432.812524700475,-0.08
Rockland,153364,142649,10715,7,157003,145898,11105,7.1,156597,146158,10439,6.7,156849,146033,10816,6.9,205291,5.656801961918933,16212,11877,5947,2255,0,1.8414207379240033,1.3175577697399988E9,36305.3586216968,0.00,193269,5.542240192704749,15030,11340,6281,2221,0,1.8764911676990135,1.2636379566599975E9,36236.463542670266,-0.06,193219,5.32694640494045,15440,11898,6553,2381,0,1.8862759153065725,1.3211951456599643E9,36424.65664038278,-0.00,184122,5.1560347241669,14350,11436,7125,2799,0,1.9544385326239149,1.2813726847700112E9,35882.74110249261,-0.05
Saratoga,121654,113827,7827,6.4,117855,109747,8108,6.9,116520,108740,7780,6.7,117508,109315,8193,7,47242,5.0852529601722285,2912,3315,2425,636,2,2.084068891280947,1.725919122599996E8,18578.246744886932,0.00,49672,5.003223207091056,3063,3743,2543,578,1,2.0638597904915392,1.963532090899978E8,19777.72049657512,0.05,47605,4.805188250731806,3042,3736,2551,578,0,2.0671242555768647,2.0896813853E8,21092.978553547997,-0.04,44419,5.112684162062615,2684,3089,2348,566,1,2.091390423572744,2.073089905300006E8,23861.53205916213,-0.07
