County,Force_2009,Employed_2009,Unemployed_2009,UnemployedPercent_2009,Force_2010,Employed_2010,Unemployed_2010,UnemployedPercent_2010,Force_2011,Employed_2011,Unemployed_2011,UnemployedPercent_2011,Force_2012,Employed_2012,Unemployed_2012,UnemployedPercent_2012,StayDays_2009,AvgStay_2009,Sev1_2009,Sev2_2009,Sev3_2009,Sev4_2009,Sev0_2009,AvgSev_2009,Charges_2009,AvgCharges_2009,StayDays_2010,AvgStay_2010,Sev1_2010,Sev2_2010,Sev3_2010,Sev4_2010,Sev0_2010,AvgSev_2010,Charges_2010,AvgCharges_2010,StayDays_2011,AvgStay_2011,Sev1_2011,Sev2_2011,Sev3_2011,Sev4_2011,Sev0_2011,AvgSev_2011,Charges_2011,AvgCharges_2011,StayDays_2012,AvgStay_2012,Sev1_2012,Sev2_2012,Sev3_2012,Sev4_2012,Sev0_2012,AvgSev_2012,Charges_2012,AvgCharges_2012
Richmond,246600,226541,20059,8.1,241777,220500,21277,8.8,240363,220425,19938,8.3,243318,222652,20666,8.5,323764,5.115886609992732,27025,22476,10285,3497,3,1.8459058875580696,1677393715,26504.972900799545,2010,326177,5.104571276545799,26922,22617,10652,3704,4,1.8611871860279503,1787437644,0.01,2011,324302,4.98274564031651,25930,23724,11615,3816,0,1.8973188906814167,29007.225750941077,-0.01,2012,297356,4.979669759185451,21651,22888,11257,3916,2
Rockland,153364,142649,10715,7,157003,145898,11105,7.1,156597,146158,10439,6.7,156849,146033,10816,6.9,205291,5.656801961918933,16212,11877,5947,2255,0,1.8414207379240033,1317548443,36305.101622991926,2010,193269,5.542240192704749,15030,11340,6281,2221,0,1.8764911676990135,1263628925,-0.06,2011,193219,5.32694640494045,15440,11898,6553,2381,0,1.8862759153065725,36424.20346272607,-0.00,2012,184122,5.1560347241669,14350,11436,7125,2799,0
Saratoga,121654,113827,7827,6.4,117855,109747,8108,6.9,116520,108740,7780,6.7,117508,109315,8193,7,47242,5.0852529601722285,2912,3315,2425,636,2,2.084068891280947,172587356,18577.75629709365,2010,49672,5.003223207091056,3063,3743,2543,578,1,2.0638597904915392,196348388,0.05,2011,47605,4.805188250731806,3042,3736,2551,578,0,2.0671242555768647,21092.488947209044,-0.04,2012,44419,5.112684162062615,2684,3089,2348,566,1
Schenectady,76552,70907,5645,7.4,75589,69660,5929,7.8,74445,68769,5676,7.6,75068,69133,5935,7.9,132980,5.648867932543222,8432,8069,5202,1837,1,2.0187757529416763,614488256,26102.895204111974,2010,126291,5.494735468151758,7973,8387,5096,1528,0,2.0077880264531847,580058994,-0.05,2011,132454,5.730714316618354,7455,8559,5347,1752,0,2.0603989097044955,23599.451217929305,0.05,2012,131004,5.631673974722724,8126,8079,5346,1710,1
Schoharie,15536,14138,1398,9,15655,14189,1466,9.4,15364,13904,1460,9.5,15450,13978,1472,9.5,3103,4.666165413533834,119,383,156,7,0,2.0766917293233083,4851572,7295.596992481203,2010,2285,4.0371024734982335,94,304,157,11,0,2.15017667844523,4128765,-0.26,2011,1593,3.4934210526315788,66,224,157,9,0,2.2390350877192984,7208.3223684210525,-0.30,2012,1723,3.3198458574181116,86,254,168,11,0
Schuyler,10024,9176,848,8.5,9958,9137,821,8.2,10028,9232,796,7.9,9963,9122,841,8.4,4302,3.301611665387567,546,436,299,22,0,1.844205679201842,10811907,8297.702993092862,2010,4342,3.3503086419753085,543,454,270,29,0,1.834104938271605,11271196,0.01,2011,4011,3.5558510638297873,361,446,283,38,0,1.99822695035461,9578.83244680851,-0.08,2012,2975,3.4274193548387095,187,391,262,28,0
St Lawrence,49618,44691,4927,9.9,49422,44192,5230,10.6,48702,43579,5123,10.5,47957,42941,5016,10.5,62850,4.405888538380652,5625,5524,2689,425,2,1.8534875569575886,123107876,8630.064914125482,2010,61079,4.491763494631564,4884,5356,2873,484,1,1.9231504633034269,121167861,-0.03,2011,56953,4.450148460696984,4487,4919,2841,551,0,1.9574933583372403,9881.622050320362,-0.07,2012,56087,4.551777308878429,4066,5017,2741,498,0
Steuben,45885,41396,4489,9.8,45185,40664,4521,10,44435,40194,4241,9.5,44168,39827,4341,9.8,37078,3.899663441312579,3650,3650,1784,424,0,1.8929322675641564,89809909,9445.72034076567,2010,37803,3.9060756354618724,3495,3938,1823,422,0,1.9144451332920025,94968353,0.02,2011,36710,4.028753292361721,2959,3687,2008,458,0,1.9961589113257243,10110.676580333626,-0.03,2012,34884,3.931477516059957,2890,3350,2114,519,0
Suffolk,789409,731147,58262,7.4,785392,725262,60130,7.7,782414,723772,58642,7.5,789008,728777,60231,7.6,896850,5.275153810862635,68668,58477,33361,9504,4,1.9040843695225098,1320770739,7768.599874128013,2010,879389,5.192271130398843,62280,60396,36172,10511,6,1.969899329849733,1810843744,-0.02,2011,879716,5.176505201713506,60251,61053,37619,11018,3,1.9964576566398342,-12166.237943087135,0.00,2012,865690,5.153376789594309,59026,60747,37267,10937,8
Sullivan,35276,32171,3105,8.8,35010,31752,3258,9.3,34295,31127,3168,9.2,34190,30903,3287,9.6,24738,4.138865651664715,2279,2357,1077,264,0,1.8872343985276894,86488941,14470.292956332609,2010,25142,4.344565405218593,2062,2161,1132,432,0,1.988595127008813,105031990,0.02,2011,25474,4.3293677770224335,2006,2172,1193,512,1,2.0355200543847722,17101.215499660095,0.01,2012,24472,4.401438848920863,1857,2122,1161,419,1
